English Word,Persian Word
hyperspace,هیپرفضا ، ابَرفضا ، ابرفضا 
hypersphere,کُره‌ی چندبعدی ، هیپرکُره ، فوق کُره ، زبَرکُره ، ابَرکُره ، فوق کره  ... 
hypersurface,فوق سطح ، هیپرسطح ، ابَررویه ، زبَررویه ، شبه رویه ، ابررویه ، ابرسطح 
hypervolume,ابرحجم ، هیپرحجم ، شبه حجم ، زبرحجم 
hyphen,کشک ، خط فاصله ، فاصله 
hypo,زیر ، تحت ، کمتر از حد معمول 
hypocycloid,درون چرخزاد ، درون چرخ نما ، هیپوسیکلوئید ، بتو چرخزاد 
hypocycloid of four cusps,درون چرخزاد با چهار تیزی
hypocycloid three cusps,تیکوسپید ، هیپوسیکلوئید با سه نقطه بازگشت خم 
hypocycloid with four cusps,خم ستاره ای ، خم هیپوسیکلوئید با چهار نقطه عطف 
hypoelliptic operator,عملگر زیربیضوی
hypoeutectoid,زیر شبه هم گذار ، زیریوتکتوئید ، هیپویوتکتوئید 
hypograph hyperplane,هیپوگراف ابرصفحه
hypoid bevel gear,چرخ دنده ی مخروطی قوسی
hypotenuse,قطر ، وتر (مثلث قائم الزاویه) ، وتر زاویه ی قائمه (مثلث) ، زه ، وتر م ... 
hypothesis,فرض (قضیه) ، فرضیه ، مقدّم (ترکیب شرطی) ، شرط ، گمانه ، انگاشت 
hypothesis of equality,فرض مساوی بودن
hypothesis of no difference,فرض متفاوت نبودن ، فرض نبودن تفاوت 
hypothesis testing,آزمودن فرض ، آزمون کردن فرض(آمار) ، آزمون فرض ، آزمون فرضیه ، آزمون ک ... 
hypothetic,فرضی
hypothetic proposition,قضیه ی شرطیه ، قضیه شرطیه 
hypothetical,فرضی ، شرطی ، احتمالی ، پنداشتی 
hypothetical event,حادثه ی فرضی
hypothetical imperative,امر مشروط
hypothetical syllogism,قیاس استثنایی
hypotrochoid,درون چرخه زاد ، هیپوتروکوئید 
i,نهمین‌حرف‌الفبای‌انگلیسی‌ ، نهمین حرف الفبای انگلیسی 
i genus,i-گونا
i th indexed member of a family,عضو i لم زیرنویس خانواده
i.b.m,شرکت آی بی ام
i.s.o,سازمان بین المللی استاندارد ها
ice cream cone,قیف بستنی
ice cream cone proof,اثبات قیف بستنی
icing the tails,کوتاه‌سازی دُمها
icon,تصویر ، شکل ، شمایل 
iconic model,مدل تجسمی
icosa,بیست
icosahedral,بیست وجهی ، گروه بیست وجهی 
icosahedral group,گروه بیست وجهی
polytope approach,رهیافت چند سقفی
poncelet,پونسله - 1788 تا 1867 میلادی
pons asinorum,پل حمار
pontryagin duality theorem,قضیه ی دوگانی پونتریاگین
pontryagin numbers,اعداد پونتریاگین
pool,ادغام ، ادغام کردن 
pool-adjacent-violators algorithm,الگوریتم ادغام مجاورهای متجاوز
pooled,ادغامی ، ادغام شده 
pooled error mean square,میانگین ادغام شده ی توان دوم خطا
pooled estimate,برآورد ادغامی ، برآورد ادغام شده 
pooled estimate of variance,برآورد ادغام شده ی واریانس
pooled estimator,برآوردکننده‌ی ادغام‌شده ، برآورد کننده ادغامی ، برآورد کننده ی ادغام  ... 
pooled sum of squares,مجموع توانهای دوم ادغام شده ، مجموع مربعات ادغام شده 
pooled variance,واریانس ادغام شده ، واریانس وزنی 
pooling,ادغام کردن
pooling data,ادغام داده‌ها
pooling of error,ادغام خطاها
pooling variance,واریانس وزنی
poor decision,تصمیم سست
pop rivet,پرچ میخی
population,جامعه ، جمعیت ، عمومی ، جمعیت آماری ، توده ، 1  جامعه 2  جمعیت 
population correlation coefficient,ضریب همبستگی جامعه ، ضریب همبستگی جامعه ای 
population covariance,کوواریانس جامعه ، کواریانس جامعه ای 
population critical size,اندازه ی بحرانی جمعیت
population distribution,توزیع جامعه ، توزیع جامعه ای 
population drain,افت جمعیت
population explosion,انفجار جمعیت
population growth,رشد جامعه
population growth model,مدل رشد جمعیت
population limiting size,اندازه ی حدی جمعیت
population logistic growth,رشد لژستیک جمعیت
population mean,میانگین جامعه ، میانگین جامعه ای 
population median,میانه‌ی جامعه
population of analysis,جامعه ی تجزیه و تحلیل
population or sample size estimation,برآورد اندازه جامعه یا نمونه
population projection,پیش‌بینی جمعیت
population proportion,نسبت جامعه
population pyramid,هرم جمعیت
population sampling,نمونه‌گیری از جمعیت
population size,اندازه ی جمعیت
population standard deviation,انحراف معیار عمومی
population variance,واریانس جامعه ، واریانس جامعه ای 
porosity,پوکی ، وجود حفره ، خلل و فرج ، تخلخل 
porous,متخلخل
portability,1  انتقال‌پذیر 2  کاربری
portable elevator,بالا بر چرخدار قابل حمل
portfolio,اوراق بها دار ، مجموعه 
portion,بخش ، قسمت ، جزء ، بهره 
portmanteau test,آزمون کلّی‌نگر
portrait,رخساره
poset,مجموعه‌ی به طور جزئی مرتّب
posit,فرض کردن ، ثابت کردن ، قرار دادن ، فرض 
position,جا ، موضع ، نهش ، جای ، موقعیت ، وضعیت ، مکان ، جایگاه ، مانده حساب ، ... 
position classification,طبقه بندی مشاغل
position description,شرح شغل
position function,تابع مکان
position sensor,حساسه ی موقعیتی
position system,دستگاه عدد نویسی مکانی
position vector,بردار موضع
positional,وضعی ، موضعی 
positional notation,دستگاه عددنویسی مکانی
positional numeral,رقم نهشی
positioner,گیره ی تنظیم وضعیت ، مستقر کننده ، وضعیت دهنده 
positioning,جایگذاری ، موقعیابی ، وضعیتدهی 
automorphism of group,اتومرفیسم گروه ، خودسانی گروه ها ، خودسانی گروه 
automorphism of module,خوسانی مدول ، اتومرفیسم مدول ، خودسانی مدول 
autonomous,خودمدار
autonomous system,دستگاه خودگردان
autoregressive,خودبرگشتی ، اتورگرسیو ، خود برگشتی 
autoregressive integrated moving average model,مدل میانگین متحرّک جمع‌بسته اتورگرسیو ، مدل میانگین متحرک جمع‌بسته ات ... 
autoregressive model,مدل اتورگرسیو
autoregressive process,فرآیند اتورگرسیو ، فرایند اتورگرسیو ، فرایند خود برگشتی 
autoregressive series,سری خودبرگشتی ، سری اوتو رگرسیو 
autoregressive-moving average model,مدل میانگین متحرّک اتورگرسیو ، مدل میانگین متحرک اتورگرسیو 
autumnal equinox,اعتدال پاییزی
auxiliary,کمکی ، معاون ، معیّن ، معین ، اضافی ، امدادی 
auxiliary circle of a hyperbola,دایره ی اصلی هذلولی
auxiliary circle of an ellipse,دایره ی اصلی بیضی
auxiliary element,عنصر معیّن ، عنصر معین 
auxiliary equation,معادله کمکی معادله حاصل از یک معادله دیفرانسیل خطی مفروض با قراردادن  ... 
auxiliary sample,نمونه کمکی ، نمونه ی کمکی 
auxiliary unknown,مجهول معاون ، معاون مجهول ، مجهول کمکی 
auxiliary variable,متغیّر کمکی ، متغیر کمکی 
av,arithmetic mean
availability,آمادگی
available,قابل استفاده ، مهیا ، موجود ، فراهم ، دسترس پذیر ، قابل دسترس ، در دس ... 
available resources,منابع در دسترس
average,متوسّط ، میانگین ، معدّل ، میانگاه ، متوسط ، معدل ، متوسط / کلمات مرت ... 
average absolute deviation,متوسّط قدرمطلق های انحرافات ، متوسط قدرمطلق های انحرافات 
average case,حالت میانگین
average cost,هزینه ی متوسط
average cost variable,متغیر هزینه ی متوسط
average critical value method,روش مقدار بحرانی متوسّط ، روش مقدار بحرانی متوسط 
average curvature,انحنای متوسّط ، خمیدگی متوسط برای کمانی مفروض از یک خم مسطح ، نسبت تغ ... 
average density,چگالی متوسّط ، چگالی متوسط 
average deviation,انحراف میانگین ، متوسّط انحراف ، انحراف متوسّط در آمار ، متوسط یا میا ... 
average extra defective limit,حدّ متوسّط اقلام معیوب اضافی ، حد متوسط اقلام معیوب اضافی 
average inventory,متوسط موجودی
average life,متوسّط عمر ، متوسط عمر ، زمان زندگی 
average net return,متوسط بازده خالص
average of a function,متوسط یک تابع
average of n numbers,متوسط n عدد
average outgoing quality,متوسّط کیفیّت خروجی ، متوسط کیفیت خروجی 
average outgoing quality limit,حدّ متوسّط کیفیّت خروجی ، حد متوسط کیفیت خروجی ، حداکثر متوسط کیفیت خ ... 
average range,متوسط دامنه
average rate,نرخ متوسّط ، نسبت متوسّط ، نسبت میانگین ، نرخ متوسط ، نسبت متوسط 
average rate of change,متوسّط میزان تغییر ، میزان تغییر متوسّط ، متوسط میزان تغییر ، میزان ت ... 
average rate of increase,متوسّط میزان افزایش ، نموّ متوسّط ، نموّ میانگین ، متوسط میزان افزایش ... 
average rate of return,نرخ بازده متوسط
average revenue,درآمد متوسط
average run length,متوسّط مدّت اجرا ، متوسط مدت اجرا 
average sample number,متوسّط تعداد نمونه ، متوسط تعداد نمونه 
average speed,(مقدار) سرعت متوسط
average term,جمله ی عمومی(سری) ، جمله ی میانگین 
average total inspection,متوسط کل قطعات بازرسی شده ، متوسط تعداد کل مورد بازرسی 
average value,مقدار میانگین ، مقدار متوسّط ، مقدار متوسط 
average velocity,سرعت متوسّط ، سرعت میانگین ، میانگین سرعت ، سرعت متوسط 
averaged shifted histogram,بافت‌نگار میانگین انتقالی
averaging,متوسّط‌گیری ، متوسط‌گیری 
avoidable delay,تأخیر قابل اجتناب
avoirdupois,مقیاس اوزان سنگین ، نوعی دستگاه اندازه گیری وزن 
award,مشخص کردن
away,فاصله ، دور ، مخالف 
awzalagh,ابونصر فارابی طبیعیدان ، فیلسوف و ریاضیدان ایرانی ( 339 - 257 ه ق  )  ... 
axes,محور ها
axes of coordinates,محورهای مختصّات ، محور های مختصات 
axial,محوری ، آسه ای 
axial distribution,توزیع محوری
free machining steel,فولاد خوش تراش
free module,مدول آزاد
free neutron,نوترون آزاد
free occurrence,مورد آزاد
free on board,ارزش کالا در بندر مبدأ ، هزینه ی حمل کالا تا نقطه ی معین ، قیمت اصلی  ... 
free on quay,تحویل روی اسکله
free on raliroad,تحویل روی واگن
free on truck,تحویل کالا روی کامیون
free oscillation,نوسان آزاد ، ارتعاش آزاد 
free parameter,پارامتر آزاد
free product of groups,حاصل ضرب آزاد گروه ها
free semigroup,نیم گروه آزاد
free space,خلاء
free system,دستگاه آزاد
free variable,متغیر آزاد
free variable form,صورت متغیر آزاد
free vector,بردار آزاد ، حامل آزاد 
free vibration,ارتعاش آزاد
freedom,آزادی
freedom degree,درجه ی آزادی
freeman-halton test,آزمون فریمن-هالتون
freeman-tukey test,آزمون فریمن-توکی
freeman-tukey transformation,تبدیل فریمن-توکی
freight,هزینه ی حمل ، بارکشی ، کرایه ی کشتی ، حمل ، کرایه 
freight in,هزینه ی حمل کالای خریداری شده ، حمل به داخل 
freight out,هزینه ی تحویل کالا
frequency,فراوانی ، فرکانس ، فراوانی / کلمات مرتبط cell frequency class frequen ... 
frequency curve,خم (منحنی) فراوانی ، خم فراوانی 
frequency density,چگالی فراوانی
frequency diagram,نمودار بسامد ، نمودار فراوانی 
frequency distribution,توزیع فراوانی ، توزیع بسامد ، پخش بسامد ، پخش فراوانی ، توزیع تواتر 
frequency distribution graph,نمودار توزیع فراوانی
frequency domain,دامنه ی تواتر ، دامنه ی فراوانی 
frequency element,عنصر فراوانی ، جزء فراوانی 
frequency function,تابع فراوانی
frequency interpretation in probability and statistical inference,تعبیر فراوانی در احتمال و استنباط آماری
frequency moment,گشتاور فراوانی
frequency of certain event,فراوانی حادثه ی یقین
frequency of impossible event,فراوانی حادثه ی غیر ممکن
frequency of intersection event,فراوانی حادثه ی مقطع
frequency of opposite event,فراوانی حادثه ی معکوس
frequency of sum event,فراوانی حادثه ی حاصل جمع
frequency of union event,فراوانی حادثه ی اجتماع
frequency polygon,چندبَر فراوانی ، چندضلعی بسامد ، چندضلعی فراوانی ، کثیرالاضلاع فراوانی 
frequency rate,ضریب حادثه
frequency surface,رویه فراوانی ، رویه ی فراوانی 
frequency table,جدول فراوانی
frequent,مکرر
frequentist,فراوانی‌گرا
frequently,مکررا ، غالبا ، بکرات 
fresnel integral,انتگرال فرنل
fresnel integrals,انتگرال های فرنل
fresnel's integrals,انتگرال های فرنل
friction,سایش اصطکاک ، اصطکاک ، اصطکاکی ، مالش 
frictional,اصطکاکی ، مالشی 
frictionless,بی اصطکاک ، بی مالش 
friedman's chi-square test,آزمون خی‌دوی فریدمن
friedman's urn model,مدل آوند فریدمن
friendly numbers,عدد های متحاب
frobenius,فروبینوس - 1849 تا 1917 میلادی
frobenius automorphism,اتومورفیسم فروبینوس
frobenius theorem,قضیه ی فروبنیوس
from the fact that,از این شرط که
from then on,از آنجا به بعد
from to chart,جدول از- به
from without,از خارج
front,پیش ، جلو 
front line,خط جبهه ، خط مقدم 
frontal,پیشی ، جلوئی 
frontal line,خط جبهی
frontier,مرزی
frontier of a set,مرز مجموعه
frontier point,نقطه‌ی مرزی
frontier point of a set,نقطه ی مرزی مجموعه
froot,جذر تاخورده
frustum,مخروط ناقص
frustum of a cone,مخروط ناقص
frustum of a pyramid,هرم ناقص
f-test,آزمون F
fuchsian,فوکسی
fucntion of two variables,تابع دو متغیری ، تابع دو متغیره 
fulfill,برآوردن ، انجام دادن ، اجرا کردن ، برقرار بودن ، صدق کردن ، تمام کردن ... 
full adder,تمام-فزونگر
full angle,زاویه ی تمام صفحه
full coding,کد گذاری کامل
full dimension,بعد کامل
full dimensional,بعد کامل
full disjunctive normal form,صورت نرمال فصلی کامل
full embedding theorem,قضیه ی نشاندن کامل
full employment,اشتغال کامل
full group,گروه تمام
full rank matrix,ماتریس رتبه ی کامل
full subtractor,تمام-تفاضلگر
full-information estimator,برآوردگر تمام‌اطلاع
fully complete space,فضای تماما کامل
fully invariant,کاملاً پایا
fully normal space,فضای تماماً نرمال ، فضای تماما نرمال 
funcitonal type of organization,سازمان بر مبنای نوع عملیات با وظایف اصلی و تخصصی
function,تابع ، تابع / کلمات مرتبط admissible function scatter function Psi-fu ... 
function algebra,جبر تابعی
function functor,تابعگون
function generator,مولد تابع ، تابع زا 
function inverse,عکس (معکوس) تابع
function key,کلید عملیاتی
function notation,نماد تابعی
function of a complex variable,تابع یک متغیر مختلط
function of a function,تابع یک تابع
function of bounded variation,تابع با تغییرات کراندار
function of complex variable,تابع متغیر مختلط
function of decision,نقش تصمیم ، معادله ی تصمیم 
function of funciton,تابع تابع ، تابع مرکب 
function of one real variable,تابع یک متغیر حقیقی
function of random variable,تابع از کمیت تصادفی
function of real variable,تابع متغیر حقیقی
function of sequence of random variables,تابع از دنباله ی کمیت های تصادفی
function of several variables,تابع چندمتغیّره ، تابع چند متغیره 
function of structure,تابع طرح
function space,فضای تابعی
function table,جدول تابع
function theory,نظریه ی تابع
function value,مقدار تابع ، تابع مقدار تابع 
function vector,بردار تابع
functional,تابعک
functional analysis,آنالیز تابعی ، آنالیز فونکسیونل 
functional calculus,حساب تابعی
functional calculus of first order,حساب محمولات مرتبه ی اول
functional calculus of higher order,حساب محمولات مراتب بالاتر
functional chart,نمودار وظایف
arc tangent,کمان تانژانت ، کمان ظل ، قوس ظل ، آرک تانژانت 
archimede axiom,اصل موضوع ارشمیدس
archimede problem,مسأله ی ارشمیدس
archimede spiral,مارپیچ ارشمیدسی
archimedean,ارشمیدسی
archimedean axiom,اصل موضوع ارشمیدس
archimedean law,قانون ارشمیدسی ، قانون ارشمیدس 
archimedean order,ترتیبی ارشمیدسی
archimedean ordered field,هیئت مرتّب ارشمیدسی ، میدان مرتب ارشمیدسی میدانی مجهّز به یک ترتیب خط ... 
archimedean principal,اصل ارشمیدس
archimedean principle,اصل ارشمیدسی
archimedean property,خاصیّت ارشمیدسی ، ویژگی ارشمیدسی ، ویژگی ارشمیدس 
archimedean solid,جسم ارشمیدسی جسمی که همه وجوه آن چندضلعیهای منتظم اند  هرچند همگی لزو ... 
archimedean solids,اجسام ارشمیدسی
archimedean spiral,مارپیچ ارشمیدسی
archimedean totally ordered group,گروه تماماً مرتّب ارشمیدسی ، گروه کاملا مرتب ارشمیدسی 
archimedean valuation,ارزه ی ارشمیدسی
archimedes,ارشمیدس - 212 تا 287 قبل از میلاد
archimedes' axiom,اصل موضوع ارشمیدس
archimedes principle,اصل موضوع ارشمیدس
archimedes' principle,اصل ارشمیدس ، اصل موضوع ارشمیدس 
archimedes' problem,مسأله ارشمیدس مسأله تقسیم یک نمیکره به دو قسمت با حجم برابر به وسیله  ... 
archimedes spiral,پیچ ارشمیدسی ، پیچ بی انتها 
arc-sine,آرک‌سینوس ، عکس سینوس ، کمان جیب ، قوس جیب 
arc-sine distribution,توزیع آرک‌سینوسی
arc-sine transformation,تبدیل آرک‌سینوسی روشی برای تبدیل داده‌هایِ متشکّل از فراوانی‌ها یا نس ... 
arcwise,کمانی ، کمانوار 
arcwise connected,دارای ارتباط قوسی ، مرتبط قوسی ، همبند قوسوار 
arcwise connected set,مجموعه همبند کمانوار ، مجموعه کمانی همبند مجموعه ای که هر جفت از نقاط ... 
arcwise connected space,فضای قوسی همبند
arcwise connectedness,همبندی کمانوار
are,آر ، صد متر مربع 
are aware of,مطلع شوید
are contained in,در     باشد
are equally spaced,هم فاصله هستند
are in order,به ترتیب باید مورد توجه قرار گیرد
are need,مورد نیازند
are to,باید بخواهیم ، خواسته باشیم 
are to be,باید ، بایستی 
area,مساحت ، پهنه ، اندازه ی سطح ، وسعت ، سطح ، رویه شاخصی از اندازه ی یک  ... 
area element,عنصر مساحت ، جزء سطح 
area sample,نمونه ی منطقه ای(آمار) ، نمونه ی منطقه ای ، نمونه ی ناحیه ای 
area sampling,نمونه‌گیری در سطح روشی که در آن ، ناحیه‌ای که قرار است از آن نمونه‌گی ... 
area shaded,سطح سایه دار
area under curve,سطح زیر منحنی ، سطح زیر منحنی نرمال 
area under normal curve,سطح زیر منحنی نرمال
areal,سطحی
areal coordenates,مختصات گرانیگاهی
areal coordinates,مختصات گرانیگاهی
areal integral,انتگرال در روی سطح ، انتگرال روی سطح 
areal velocity,سرعت مساحتی
aren't permitted,مجاز نباشد
arete,فصل مشترک ، خطّ الرأس کوه 
arfwedson distribution,توزیع آرف‌ودسون
argan diagram,نمودار آرگان
argand diagram,نمودار آرگان یک دستگاه مختصات دکارتی دو بعدی برای نمایش اعداد مختلط؛  ... 
argand's diagram,نمودار آرگاند
argue,بحث کردن ، با دلیل ثابت کردن 
argument,شناسه(عدد مختلط ، متغیّر) ، آوند (عدد مختلط) ، بُرهان(منطق) ، آرگومان ... 
argument of a complex number,شناسه ی یک عدد مختلط ، آرگومان یک عدد مختلط 
argument of a function,شناسه‌ی تابع ، شناسه تابع ، متغیر مستقل ، آرگومان تابع 
argument of complex number,شناسه ی یک عدد مختلط ، آرگومان یک عدد مختلط ، آوند عدد مختلط 
argument of function,شناسه ی تابع
argument principle,اصل آوند
invariant measure,اندازه ناوردا ، اندازه ی ناوردا 
invariant metric,متریک ناوردا
invariant prior distribution,توزیع پیشین ناوردا
invariant property,ویژگی ناوردا
invariant statistics,آماره‌های ناوردا
invariant subgroup,زیرگروه ناوردا ، زیرگروه نامتغیر ، زیرگروه ثابت ، زیرگروه تغییر ناپذی ... 
invariant subset,زیرمجموعه ی ثابت
invariant subspace,زیرفضای ناوردا
invariant tori,چنبره‌های ناوردا
invariant vector,بردار خاص ، بردارممتاز ، بردار تغییر ناپذیر ، بردار پایا 
invariants of an abelian group,ثابت های یک گروه آبلی
invent,ابداع کردن ، اختراع کردن ، جعل کردن 
inventive,ابداعی ، اختراعی 
inventor,جاعل ، مخترع 
inventory,(فهرست) موجودی کالا ، موجودی کالا ، موجودی ، انبار داری ، کنترل موجود ... 
inventory card,کارت انبار
inventory control,کنترل موجودی کالا ، کنترل موجودی 
inventory control theory,نظریه تنظیم موجودی کالا ، نظریه ی کنترل موجودی 
inventory count,شمارش موجودی
inventory model,مدل موجودی ، مدل انبارداری 
inventory problem,مسأله ی انبارداری
inventory reserve,اندوخته ی موجودی کالا
inventory theory,نظریه موجودی کالا
inventory turnover,گردش موجودی
inverse,معکوس ، وارون ، عکس ، منعکس ، وارونه ، وارون / کلمات مرتبط conditiona ... 
inverse analytic function,تابع تحلیلی وارون
inverse bijection,دوسوئی عکس
inverse classes,کلاس های معکوس
inverse correlation,همبستگی غیر مستقیم
inverse correspondence,تناظر وارون
Inverse DEA Model,مدل DEA معکوس
Inverse distance weighted methods,روش‌های وزن‌دهی فاصله‌ی معکوس
inverse distribution,توزیع وارون
inverse element,عنصر عکس ، عامل معکوس ، عضو معکوس ، عضو وارون ، عنصر وارون 
inverse formula,فرمول معکوس
inverse formula for fourier transforms,فرمول معکوس برای تبدیلات فوریه
inverse fourier transform,تبدیل معکوس فوریه
inverse function,تابع معکوس ، تابع وارون 
inverse function theorem,قضیه ی تابع معکوس
inverse gaussian distribution,توزیع گاوسی وارون
inverse hypergeometric distribution,توزیع فوق‌هندسی وارون
inverse hyprbolic functions,توابع هذلولی معکوس ، توابع معکوس هیپربولیک 
inverse image,نگاره ی وارون ، نگاره ی معکوس ، نگاشت وارون ، نگاشت معکوس ، نقش معکوس 
inverse image of a set,نگاره ی وارون مجموعه
inverse image of point,تصویر معکوس نقطه
inverse image of under,تصویر معکوس     تحت
inverse image under,نقش معکوس تحت
inverse interpolation,درونیابی وارون ، درونیابی معکوس 
inverse laplace transform,تبدیل لاپلاس معکوس
Inverse Linear Programming,برنامه ریزی خطی معکوس
inverse logarithm,لگاریتم معکوس ، پادلگاریتم ، آنتی لگاریتم 
inverse mapping,نگاشت وارون ، مطابقه ی عکس 
inverse matrix,ماتریس وارون ، ماتریس عکس ، ماتریس معکوس 
inverse matrix calculation,محاسبه ی ماتریس معکوس
inverse matrix condition for existence,شرط وجود ماتریس معکوس
inverse matrix definition,تعریف ماتریس معکوس
inverse median estimation,برآورد میانه به روش وارون
inverse morphism,ریختی وارون
inverse number,عدد عکس ، عدد معکوس 
inverse of a function,معکوس یک تابع
inverse of a point,منعکس نقطه
inverse of a proposition,نقیض یک گزاره
inverse of function,عکس تابع
inverse of image,عکس تصویر
m-estimator,ام (m)-برآوردگر
meta,پیشوندی به معنای فوق ، متا ، ماوراء 
Meta – frontier,فرا - مرز
meta mathematics,متا ریاضیات ، ماوراء ریاضی 
meta system,مابعدالدستگاه
meta theorem,متاقضیه ، ماوراء قضیه 
meta-analysis,فراتحلیل
metabelian,فراآبلی
metadata,فراداده‌ها
metadiscriminant,فوق مبین
Metafrontier,فرا مرز
metal spraying,بارش فلزی ، فلز پاشی 
metalanguage,شبه زبان ، ماوراء زبان 
metallic yield,محصول فلزی ، باردهی فلزی 
metallurgy,فلزکاری ، متالورژی 
metalogic,فوق منطق ، شبه منطق ، ماوراء منطق 
metamathematical,متا ریاضی
metamathematics,فرا ریاضیات ، فرا ریاضی 
metamathematics of probability,فرا ریاضیات احتمال
metamathmatics,ماوراء ریاضی
metameter,فرامتر ، متامتر 
metaphysicians,حکمای مابعدالطبیعه
Metaproduction,فراتولید
metaproof,فوق دلیل ، متا دلیل 
metastale,فوق پایدار
metastatistics,فراآمار
metatheorem,فوق قضیه
metavariable,فوق متغیر ، متا متغیر 
meter,متر ، معادل 39 37 اینچ ، سنجه 
metering device,وسیله ی سنجش
method,روش ، راه ، شیوه ، طریق ، روال کار ، اسلوب ، طریقه ، راه و روش 
method of averages,روش متوسطها
method of back-projection,روش پس‌بینی
method of disks,روش قرص ها
method of elements,روش اجزا
method of exhaustion,روش اشباع ، روش افنا 
method of false position,روش موقعیت نادرست
method of fitting constants,روش برازاندن ثابت ها ، روش برازش ثابت ها 
method of group averages,روش متوسطهای گروهی
method of intersection,روش برش
method of lagrange multipliers,روش ضریبهای لاگرانژ
method of least absolute values,روش کمترین قدرمطلقها
method of least powers,روش کمترین توانها
method of least squares,روش حداقل مجذورات ، روش کمترین مربعات 
method of linearization,روش خطی سازی
method of moments,روش گشتاورها
method of paried comparison,روش مقایسه ی مزدوج
method of penalty,روش جریمه
method of pivot selection,روش انتخاب پاشنه
method of quadrature in differential equations,روش حل معادله های دیفرانسیل با انتگرال گیری
method of reasoning,برهان خلف
method of scoring,روش امتیازبندی
method of shells,روش غشاء ها
method of sieves,روش غربالها
method of statistical differentials,روش دیفرانسیل‌های آماری
method of steepest descent,روش پرشیب‌ترین نزول
method of successive approximation,روش تقریب متوالی
method of successive approximations,روش تقریب های پیاپی
method of successive bisection,روش دو نیم سازی متوالی
method of successive bisections,روش تنصیفات متوالی
method of successive iteration,روش تکرار متوالی
method of the auxiliary hypothesis,روش فرض کمکی
method of undetermined coefficients,روش ضرایب نامعین ، روش ضرایب مبهم ، روش ضرایب نامعلوم 
method of variables,روش متغیّرها
data processing personel,کارکنان فرابری داده
data recording,مشخصات ، داده نگاری ، ضبط داده ، ثبت داده ها 
data reduction,فروکاهی داده‌ها ، تلخیص داده ها 
data set,مجموعه ی داده ها
data sheet,ورقه ی آماری ، برگه ی اطلاعاتی ، برگ آمارگیری 
data size,اندازه ی داده ها ، تعداد داده ها 
data smoothing,همسازی داده ها
data structure,ساختار داده ها
data system,دستگاه اطلاعاتی ، سیستم اطلاعاتی ، سیستم داده ها 
data table,جدول داده ها
data transmission equipment,وسیله ی انتقال داده ها
data type,نوع اطلاعات
data-instigated hypotheses,فرض‌های داده برانگیخته ، فرضهای داده‌برانگیخته 
date of arrival,تاریخ ورود
date of delivery,تاریخ تحویل
date of grace,مهلت
date of maturity,تاریخ سررسید
date of payment,تاریخ پرداخت
dating,تاریخ‌گذاری ، سال‌یابی ، 1  تاریخ‌گذاری 2  سالیابی 
datum,داده‌ها ، معلومات مسأله این کلمه ، صورت مفرد کلمه data است ، داده / ک ... 
david hilbert,دیوید هیلبرت ریاضیدان آلمانی ( 1943 - 1862 )  او به پیشبرد نظریه اعدا ... 
"david, pearson, and hartley's test for outliers",آزمون دیوید ، پی‌یرسون ، و هارتلی برای نقاط دورافتاده (دامنه استیودنت ... 
"david, pearson, and hartley's test for outliers (studentized range)",آزمون دیوید ، پی‌یرسون ، و هارتلی برای نقاط دورافتاده (دامنه استیودنت ... 
dcision rule,قاعده ی تصمیم گیری ، قاعده ی تصمیم 
de moivre formula,فرمول دِموآوْر ، فرمول دمواور 
de moivre laplace integral theorm,قضیه انتگرال دوموآور ــ لاپلاس
de moivre laplace local theorem,قضیه دوموآور ــ لاپلاس برای محاسبه تقریبی احتمال های آزمایش های تکراری
de moivre number,عدد دِموآوْر
de moivre theorem,قضیه دوموآور ، دستور دوموآور 
de moivre-laplace theorem,قضیه دِموآوْر-لاپلاس
de moivre's formula,فرمول دوموآور ، دستور دوموآور 
de moivre's theorem,دستور دوموآور ، قضیه ی دوموآور 
de morgan,دمرگان
de morgan law,قانون دمورگان ، قانون دمورگن 
de morgan rules,قاعده های دمرگان
de morgan's laws,قوانین دومورگان
de morgan's rules,قواعد دومورگان ، قواعد دمورگان 
de morgan's theorems,قضایای دومورگان ، قضایای دمورگان 
de rham decomposition,تجزیه ی دُرام
dead angle,زاویه ی خفا
dead file,بایگانی راکد
deadheading pay,هزینه ی ایاب و ذهاب ، حق ایاب و ذهاب 
deadline,سررسید ، موعد 
deal,کلنجار رفتن ، معامله کردن ، اندازه ، قدر ، مقدار 
deal with,سروکار داشتن ، مربوط به ، سروکار پیدا کردن 
death,مرگ (و میر)
death benefit,مستمری وظیفه ، مستمری قوت 
death process,فرآیند مرگ ، فرایند مرگ ، فرایند مرگ / کلمات مرتبط pure death process ... 
death rate,میزان مرگ (و میر)
debased histogram,نمودار پله ای پایه کاسته
debasing,پایه کاهی ، کاستن پایه 
debatable,قابل بحث ، قابل مناظره 
debenture,برگ و سند قرضه ، قرضه ، حواله ی دولتی ، قرارداد بیمه ، ورقه ی قرضه ،  ... 
debit,بدهکار کردن ، بدهی ، بدهکار ، ستون بدهی ، ستون بدهکار ، در ستون بدهی  ... 
debit a sum to a person,مبلغی را بحساب بدهی کسی گذاشتن
debit instrument,سند بدهی
debit interest,بهره ی بدهکار
debit memorandum,برگ بدهکار
debt,وام ، بدهی ، قرض 
debt ratio,نسبت بدهی
